timestamp_utc_end_of_period,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
2025-05-15 03:01:00+00:00,,,,,14,89,14,89,100,100,100,100,0,0
2025-05-15 03:02:00+00:00,,,,,89,89,89,89,100,100,99,100,0,0
2025-05-15 03:03:00+00:00,,,,,89,90,86,90,100,100,100,100,0,0
2025-05-15 03:04:00+00:00,,,,,90,90,86,89,100,100,100,100,0,0
2025-05-15 03:05:00+00:00,,,,,89,89,87,88,100,100,99,99,0,0
2025-05-15 03:06:00+00:00,,,,,88,91,86,89,99,100,98,98,0,0
2025-05-15 03:07:00+00:00,,,,,89,91,89,89,98,98,96,96,0,0
2025-05-15 03:08:00+00:00,89.0,89.0,87.0,87.0,89,89,85,87,96,96,93,94,60,60
2025-05-15 03:09:00+00:00,,,,,87,87,83,85,94,94,94,94,0,60
2025-05-15 03:10:00+00:00,,,,,85,87,84,87,94,94,94,94,0,60
2025-05-15 03:11:00+00:00,,,,,87,87,85,85,94,94,94,94,0,60
2025-05-15 03:12:00+00:00,,,,,85,91,85,86,94,96,94,94,0,0
2025-05-15 03:13:00+00:00,,,,,86,87,81,87,94,96,92,96,0,0
2025-05-15 03:14:00+00:00,,,,,87,89,84,89,96,98,96,96,0,0
2025-05-15 03:15:00+00:00,,,,,89,91,85,86,96,98,94,94,0,0
2025-05-15 03:16:00+00:00,90.0,90.0,90.0,90.0,86,90,83,89,94,94,90,92,150,210
2025-05-15 03:17:00+00:00,90.0,90.0,90.0,90.0,89,91,86,90,92,92,92,92,25,235
2025-05-15 03:18:00+00:00,,,,,90,91,85,90,92,92,92,92,0,235
2025-05-15 03:19:00+00:00,92.0,92.0,92.0,92.0,90,90,82,89,92,92,92,92,9,244
2025-05-15 03:20:00+00:00,,,,,89,91,89,91,92,92,92,92,0,244
2025-05-15 03:21:00+00:00,90.0,90.0,90.0,90.0,91,91,90,90,92,92,92,92,10,254
2025-05-15 03:22:00+00:00,92.0,92.0,92.0,92.0,90,91,81,91,92,95,92,95,39,293
2025-05-15 03:23:00+00:00,95.0,95.0,95.0,95.0,91,94,89,94,95,95,95,95,23,293
2025-05-15 03:24:00+00:00,,,,,94,94,92,93,95,95,95,95,0,293
2025-05-15 03:25:00+00:00,,,,,93,94,93,94,95,95,95,95,0,293
2025-05-15 03:26:00+00:00,,,,,94,94,92,94,95,95,95,95,0,293
2025-05-15 03:27:00+00:00,,,,,94,94,94,94,95,95,95,95,0,293
2025-05-15 03:28:00+00:00,95.0,95.0,95.0,95.0,94,95,88,89,95,100,95,100,77,370
2025-05-15 03:29:00+00:00,,,,,89,89,89,89,100,100,100,100,0,370
2025-05-15 03:30:00+00:00,89.0,89.0,89.0,89.0,89,89,89,89,100,100,100,100,100,470
2025-05-15 03:31:00+00:00,94.0,94.0,94.0,94.0,89,93,88,91,100,100,94,100,50,520
2025-05-15 03:32:00+00:00,,,,,91,91,91,91,100,100,100,100,0,520
2025-05-15 03:33:00+00:00,95.0,95.0,95.0,95.0,91,91,91,91,100,100,95,100,10,530
2025-05-15 03:34:00+00:00,,,,,91,91,88,89,100,100,99,100,0,530
2025-05-15 03:35:00+00:00,,,,,89,89,89,89,100,100,100,100,0,530
2025-05-15 03:36:00+00:00,,,,,89,89,89,89,100,100,100,100,0,530
2025-05-15 03:37:00+00:00,,,,,89,91,89,91,100,100,100,100,0,530
2025-05-15 03:38:00+00:00,,,,,91,91,91,91,100,100,100,100,0,530
2025-05-15 03:39:00+00:00,,,,,91,91,91,91,100,100,100,100,0,530
2025-05-15 03:40:00+00:00,,,,,91,92,91,92,100,100,100,100,0,530
2025-05-15 03:41:00+00:00,,,,,92,92,92,92,100,100,100,100,0,530
2025-05-15 03:42:00+00:00,,,,,92,92,92,92,100,100,100,100,0,0
2025-05-15 03:43:00+00:00,,,,,92,92,92,92,100,100,100,100,0,0
2025-05-15 03:44:00+00:00,,,,,92,92,92,92,100,100,100,100,0,0
2025-05-15 03:45:00+00:00,,,,,92,92,92,92,100,100,100,100,0,0
2025-05-15 03:46:00+00:00,92.0,92.0,92.0,92.0,92,92,92,92,100,100,100,100,23,553
2025-05-15 03:47:00+00:00,,,,,92,92,92,92,100,100,100,100,0,553
2025-05-15 03:48:00+00:00,,,,,92,92,92,92,100,100,100,100,0,553
2025-05-15 03:49:00+00:00,,,,,92,92,92,92,100,100,100,100,0,553
2025-05-15 03:50:00+00:00,,,,,92,94,92,94,100,100,100,100,0,553
2025-05-15 03:51:00+00:00,,,,,94,94,94,94,100,100,100,100,0,553
2025-05-15 03:52:00+00:00,,,,,94,94,94,94,100,100,100,100,0,553
2025-05-15 03:53:00+00:00,,,,,94,94,94,94,100,100,100,100,0,553
2025-05-15 03:54:00+00:00,,,,,94,94,94,94,100,100,100,100,0,553
2025-05-15 03:55:00+00:00,,,,,94,94,94,94,100,100,100,100,0,553
2025-05-15 03:56:00+00:00,,,,,94,94,94,94,100,100,100,100,0,553
2025-05-15 03:57:00+00:00,,,,,94,94,94,94,100,100,100,100,0,553
2025-05-15 03:58:00+00:00,,,,,94,94,94,94,100,100,100,100,0,553
2025-05-15 03:59:00+00:00,,,,,94,99,94,99,100,100,100,100,0,553
2025-05-15 04:00:00+00:00,,,,,99,99,99,99,100,100,100,100,0,553
