timestamp,kalshi_open_cents,kalshi_high_cents,kalshi_low_cents,kalshi_close_cents,kalshi_volume
2025-05-13 22:01:00+00:00,70,72,70,72,0
2025-05-13 22:02:00+00:00,72,94,72,94,0
2025-05-13 22:03:00+00:00,94,94,94,94,0
2025-05-13 22:06:00+00:00,94,94,71,93,0
2025-05-13 22:07:00+00:00,93,93,61,90,0
2025-05-13 22:08:00+00:00,90,92,61,92,0
2025-05-13 22:09:00+00:00,92,92,92,92,0
2025-05-13 22:10:00+00:00,92,93,61,92,0
2025-05-13 22:11:00+00:00,92,93,71,93,0
2025-05-13 22:12:00+00:00,93,93,71,71,0
2025-05-13 22:13:00+00:00,71,94,71,94,0
2025-05-13 22:14:00+00:00,94,94,94,94,0
2025-05-13 22:15:00+00:00,94,94,94,94,0
2025-05-13 22:16:00+00:00,94,94,71,71,0
2025-05-13 22:17:00+00:00,71,94,71,94,0
2025-05-13 22:19:00+00:00,94,94,94,94,0
2025-05-13 22:20:00+00:00,94,94,94,94,0
2025-05-13 22:21:00+00:00,94,94,94,94,0
2025-05-13 22:24:00+00:00,94,94,94,94,0
2025-05-13 22:29:00+00:00,94,94,94,94,0
2025-05-13 22:34:00+00:00,94,94,94,94,0
2025-05-13 22:35:00+00:00,94,95,94,94,0
2025-05-13 22:36:00+00:00,94,95,94,94,0
2025-05-13 22:37:00+00:00,94,95,94,95,0
2025-05-13 22:38:00+00:00,95,95,94,95,0
2025-05-13 22:39:00+00:00,95,95,94,95,0
2025-05-13 22:40:00+00:00,95,95,94,95,0
2025-05-13 22:41:00+00:00,95,95,94,95,0
2025-05-13 22:42:00+00:00,95,95,94,95,0
2025-05-13 22:45:00+00:00,95,95,94,95,0
2025-05-13 22:48:00+00:00,95,95,94,95,0
2025-05-13 22:53:00+00:00,95,95,70,71,0
2025-05-13 23:00:00+00:00,71,79,70,79,0
